날짜,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
2.09,315.2 / NW5.4,-5.9,5,0,37,83,1027.8,1031.8
2.1,304.0 / NW7.8,-3.6,9.5,0,57,90,1024.8,1028.6
2.11,30.8 / NNE4.6,-0.5,11.7,0,45,97,1023.4,1027.4
2.12,301.2 / WNW5.8,1,15.2,0,24,99,1023.9,1026
2.13,292.7 / WNW5.2,-2.3,16.4,0,23,100,1021.4,1027.5
2.14,304.0 / NW4.9,2,16.2,0.6,36,94,1011.5,1021.3
2.15,318.0 / NW12.8,0.2,7.1,1,56,100,1010.7,1019.1
2.16,211.1 / SSW12.1,-4.3,6,2.4,36,99,1012.7,1020.1
2.17,312.3 / NW13.1,-5.4,-2.7,3.9,58,93,1019.4,1022.3
2.18,318.0 / NW11.2,-5.9,0.7,1.2,55,94,1022.1,1025.1
2.19,182.8 / S9.4,-4,10.6,0,47,92,1014.1,1025.1
2.2,177.3 / S9.9,7.4,14.8,0,64,87,1010.5,1014.1
2.21,197.0 / SSW10.6,9.2,21.5,0,28,81,1010.6,1012.9
2.22,278.6 / W11.7,2.1,17.6,0,53,94,1010.8,1024.1
2.23,304.0 / NW7.9,-2.1,5.8,0,40,73,1024.1,1028.7
2.24,315.2 / NW5.8,-2.1,9.6,0,27,83,1023.2,1027.3
2.25,292.7 / WNW6.0,-0.9,5.6,8.7,64,100,1021.1,1025.6
2.26,33.7 / NNE10.0,4.2,16,0,24,97,1019.2,1024.5
2.27,129.3 / SE8.1,3,15.2,0,35,78,1024.2,1028.4
2.28,64.6 / ENE6.4,2.8,11.2,0,47,97,1021.4,1028.1
3.01,211.1 / SSW13.0,4.7,17.1,37,79,99,1008.6,1021.3
3.02,312.3 / NW8.0,0.9,7.3,0.1,64,99,1014.6,1030.1
3.03,301.2 / WNW5.1,-1.6,10.4,0,41,99,1027.5,1031.9
3.04,70.3 / ENE4.9,3.2,10.8,4.2,62,99,1021.3,1027.6
3.05,270.2 / W6.7,1.5,16.3,0,48,100,1018.5,1023.8
3.06,309.6 / NW7.0,4.3,9.8,0,81,100,1023.7,1028.8
3.07,323.7 / NW6.1,6,11.4,0,65,98,1026.6,1029.9
3.08,278.6 / W7.5,2.9,12.6,0,45,95,1025.9,1029.6
3.09,292.7 / WNW7.2,1.9,11.6,0,45,94,1024.9,1028.4
3.1,301.2 / WNW6.7,0.2,15.3,0,42,98,1027.2,1030.4
3.11,278.6 / W6.7,2.2,17.5,0.1,35,98,1022.9,1029.5
3.12,25.2 / NNE8.9,5.7,10.7,17.1,79,100,1019.1,1023.3
3.13,278.6 / W6.1,1.7,14.2,0,52,100,1020.9,1023.9
3.14,290.0 / WNW6.5,2.5,13,0,65,100,1019.9,1023.4
3.15,323.7 / NW6.8,2.2,18.6,0.5,38,100,1014,1020.4
3.16,290.0 / WNW10.6,3.7,12.8,2.7,50,100,1013.5,1019.4
3.17,301.2 / WNW7.1,0.1,13.1,0,46,98,1018.6,1021.5
3.18,281.5 / WNW8.3,1.6,17.4,0,42,97,1017.8,1021.6
3.19,278.6 / W6.5,6.3,19.1,0,47,86,1016.3,1021.2
3.2,290.0 / WNW8.0,6.2,10.1,8.3,73,100,1011.8,1016.4
3.21,292.7 / WNW12.1,5,9.2,0,52,89,1014.9,1022.5
3.22,278.6 / W10.1,3,11,0,38,91,1021.9,1024.1
3.23,304.0 / NW8.5,3.4,16.7,0,35,96,1020.9,1024.4
3.24,182.8 / S7.3,3.5,17.6,0,32,90,1018.8,1023.2
3.25,304.0 / NW7.1,4.3,17.6,0,50,100,1020,1023.5
3.26,301.2 / WNW4.9,4.3,19.4,0,42,100,1018.2,1024.3
3.27,126.5 / SE7.2,6.5,16.4,30.4,64,100,1003.3,1019
3.28,267.3 / W8.1,8.9,14.9,0,76,99,1003.3,1007.7
3.29,267.3 / W8.5,7.6,16,0,44,97,1007.7,1011.9
3.3,290.0 / WNW8.0,6.1,17.7,0,28,100,1011.4,1014.7
3.31,312.3 / NW6.3,3.7,22.6,0,24,91,1012.5,1015.8
4.01,168.8 / S8.7,5.4,23.6,0,22,90,1014.7,1018.1
4.02,33.7 / NNE7.9,13,25.3,0,29,71,1016.1,1019.3
4.03,160.3 / SSE10.8,12.1,20,12.1,64,100,1008.5,1016.4
4.04,270.2 / W6.8,9.1,13.9,3.9,77,100,1010.1,1020.2
4.05,281.5 / WNW8.6,4.8,17.7,0,31,100,1020.1,1024.1
4.06,290.0 / WNW8.3,5.2,16.9,0,24,91,1020.3,1022.9
4.07,312.3 / NW7.6,4.7,18.5,0,42,95,1018.9,1023.1
4.08,304.0 / NW8.8,6.3,15.6,0,34,90,1018.8,1021.3
4.09,281.5 / WNW7.5,3.7,19.7,0,26,87,1021,1028.3
4.1,290.0 / WNW8.7,5.5,18.5,0,33,92,1028.3,1032.4
4.11,295.5 / WNW7.4,4.8,22,0,33,99,1026.5,1032.4
4.12,197.0 / SSW8.4,11.4,15.5,25.4,43,99,1010.7,1027.3
4.13,290.0 / WNW8.6,5.7,14.8,2.2,66,100,1010.6,1020.4
4.14,290.0 / WNW7.5,2.9,13.4,0,42,91,1019.2,1022.2
4.15,304.0 / NW6.7,2.2,18.3,0,24,92,1016.4,1021.9
4.16,202.6 / SSW7.5,6.8,15.8,0.2,56,100,1016.1,1018.8
4.17,267.3 / W12.6,6.7,16.2,0,29,100,1015.7,1018.3
4.18,312.3 / NW10.8,5.2,14,0,44,92,1017.3,1020.2
4.19,267.3 / W7.7,4.1,18.5,0,35,96,1017.6,1020.4
4.2,290.0 / WNW7.2,5.3,21,0,34,96,1020,1022.7
4.21,290.0 / WNW6.5,8.6,26.2,0,31,80,1019.5,1023.3
4.22,177.3 / S9.3,12.6,27.7,0,24,76,1016.1,1022.1
4.23,42.2 / NE10.1,16.7,27.1,0,25,56,1015.2,1018.9
4.24,292.7 / WNW9.2,12.4,24.3,0,26,73,1018.3,1020.8
4.25,281.5 / WNW8.7,9.6,24,0,39,94,1017.4,1021.6
4.26,270.2 / W7.4,9.5,22.4,0,37,95,1019.5,1023.1
4.27,292.7 / WNW5.9,10.7,20.5,0,34,85,1016.2,1022.1
4.28,292.7 / WNW5.0,12.4,19.6,0,43,99,1013.8,1019.2
4.29,199.8 / SSW17.4,11.1,19.2,2.6,50,86,1000.8,1013.7
4.3,202.6 / SSW15.4,10.6,15,0,61,89,1000.5,1009.6
5.01,278.6 / W11.4,9.4,13.4,4.6,62,99,1003.6,1012.2
5.02,270.2 / W8.4,7.8,16,0,57,95,1012.1,1021.3
5.03,281.5 / WNW6.8,6.3,20.5,0,36,98,1016.4,1021.3
5.04,177.3 / S11.7,11.2,23,10.2,58,99,1003,1017.3
5.05,270.2 / W11.1,9.6,18.7,0,30,100,1006.8,1019.6
5.06,197.0 / SSW6.7,6.3,23.1,0,25,79,1012.6,1019.6
5.07,258.8 / W13.4,9.4,21.1,0,36,85,1007.2,1012.6
5.08,177.3 / S11.6,7.8,23.9,0,36,89,1002,1010.5
5.09,281.5 / WNW6.5,7.8,21.1,0,32,95,1008.5,1013
5.1,53.4 / NE9.8,12.3,16.6,3.9,56,96,1009.9,1016.3
5.11,84.4 / E9.6,13.4,23,0.4,57,98,1010.2,1013.4
5.12,25.2 / NNE8.4,12.8,27.9,0,39,83,1008.8,1012.7
5.13,312.3 / NW7.3,14,25.9,0,51,93,1010.5,1013
5.14,281.5 / WNW6.7,14.6,29,0,50,97,1009.9,1013.6
5.15,211.1 / SSW7.1,19.2,27.1,1.9,68,99,1003.7,1010
5.16,182.8 / S8.4,15.8,22.5,21.9,92,100,999.6,1005.4
5.17,244.8 / WSW6.7,14.1,16.9,2.9,85,100,1003.3,1011.3
5.18,290.0 / WNW6.3,13.5,22.1,0,64,100,1010,1012.9
5.19,306.7 / NW5.6,12.3,26.5,0,35,100,1009.9,1013.5
5.2,56.2 / NE8.9,14.6,18.7,4,68,100,1000.6,1011.6
5.21,244.8 / WSW10.0,13.6,18.6,0.2,71,100,1002.7,1012.1
5.22,304.0 / NW6.5,11.4,23.6,0,49,100,1010.6,1013.1
5.23,292.7 / WNW7.0,12.2,27.7,0,41,99,1009.3,1013.2
5.24,290.0 / WNW7.5,13.4,21.3,0,60,93,1008.1,1011.1
5.25,267.3 / W11.0,12.4,20,5.6,53,97,1005.9,1011.6
5.26,163.1 / SSE10.3,12.6,23.9,0,31,98,1005.3,1011.9
5.27,244.8 / WSW9.2,12.6,19.9,0.4,66,100,1001.2,1006.6
5.28,191.3 / SSW13.8,12.6,23.3,17.1,62,99,998.5,1005.8
5.29,270.2 / W8.1,12.8,23.6,0,42,99,1005.5,1009.5
5.3,188.6 / S6.5,12.7,28,0.3,40,98,1007,1010.3
5.31,33.7 / NNE7.7,15.3,28.8,8.3,32,97,1008.5,1013.1
6.01,290.0 / WNW9.0,16.4,27.9,0,37,91,1011.9,1016.1
6.02,180.0 / S7.2,18.5,29.8,0,34,86,1010.8,1014.7
6.03,334.8 / NNW5.6,17.8,21,15.9,73,100,1000.2,1011.3
6.04,292.7 / WNW6.9,14.8,23.7,0.1,35,100,1001.9,1004.9
6.05,199.8 / SSW9.4,15.1,26.4,0,57,94,1001.4,1004.9
6.06,267.3 / W7.8,18.3,28.4,0.2,36,88,1004.7,1012
6.07,290.0 / WNW5.2,16.7,29,0,35,91,1011.5,1015.4
6.08,258.8 / W6.3,18,29.8,0,47,99,1014.1,1016.6
6.09,292.7 / WNW6.4,19.4,31.7,0,48,100,1013.1,1016.2
6.1,166.0 / SSE10.4,20.6,29.5,23.3,44,98,1008.4,1014.5
6.11,177.3 / S9.7,19.7,27,29.8,68,100,1008.5,1012.7
6.12,270.2 / W8.1,18.9,27,0,70,100,1009.9,1013.5
6.13,309.6 / NW6.7,17.6,23.8,0,78,100,1007.1,1012.1
6.14,306.7 / NW7.5,18.3,25.3,0,78,100,1004.9,1008.3
6.15,53.4 / NE9.5,19.4,22.3,15.8,83,100,1001.7,1005.9
6.16,64.6 / ENE9.1,19.3,28.5,0.9,53,99,1001.1,1006.3
6.17,278.6 / W4.6,19.5,26,5.5,61,100,1005.3,1007.4
6.18,281.5 / WNW5.9,19.3,24.1,4.5,79,100,1000.8,1005.5
6.19,312.3 / NW6.7,17.7,25.8,0,63,100,1001,1003.4
6.2,188.6 / S10.2,17.2,31,0,29,100,1001.4,1003.8
6.21,304.0 / NW5.9,18.5,28.7,0,46,100,1003.1,1007.5
6.22,258.8 / W10.1,17.5,27.4,0.4,53,99,1007.1,1010.2
6.23,270.2 / W9.0,19.7,27,0,62,99,1009,1012.2
6.24,278.6 / W6.5,19.1,25.8,0,68,100,1010.8,1012.6
6.25,270.2 / W6.3,18.5,28.9,0,54,100,1009.4,1012.6
6.26,87.1 / E6.1,20.4,29.8,0.7,44,100,1008.7,1011.9
6.27,247.6 / WSW7.0,20.2,29.9,0,49,96,1005.5,1009.6
6.28,270.2 / W6.4,21.4,29.1,0,51,94,1003.9,1006.5
6.29,281.5 / WNW7.9,19.9,27.7,0,65,100,1005.1,1007.9
6.3,290.0 / WNW6.3,21,29.4,0,54,99,1006,1008.7
7.01,270.2 / W6.6,20.8,30.8,0,57,96,1005,1008
7.02,301.2 / WNW6.0,21.6,30.7,0,59,100,1007.1,1010.3
7.03,191.3 / SSW8.5,22.2,26.3,35.2,68,100,1000.6,1010
7.04,191.3 / SSW14.4,21.4,25.8,1.8,82,100,1000.2,1011.2
7.05,61.9 / ENE9.0,20.5,23.9,83.2,82,100,1006.7,1012
7.06,160.3 / SSE5.2,21,24.8,26.8,92,100,1006.1,1009.3
7.07,290.0 / WNW7.5,23.9,27.2,25.5,90,100,1005.3,1009.9
7.08,247.6 / WSW10.2,22.1,27.9,5.5,78,100,1004.9,1007.1
7.09,290.0 / WNW5.9,23,29.1,0.3,69,100,1004.8,1007.7
7.1,278.6 / W10.2,22.7,31.8,0,62,100,1006.6,1010.8
7.11,278.6 / W7.1,23.5,31.2,0,69,97,1009.6,1011.7
7.12,168.8 / S5.1,25.1,32.5,0,63,100,1008.8,1011.8
7.13,166.0 / SSE9.2,23.9,33.6,0,56,98,1009,1011.1
7.14,123.8 / SE7.1,25.2,32.2,0,62,92,1011,1014
7.15,270.2 / W6.7,24,33.1,0,54,99,1013.5,1015.4
7.16,292.7 / WNW6.3,23.2,32.2,0.1,60,99,1012.8,1016
7.17,278.6 / W6.8,22.1,32.1,3.9,53,100,1010.3,1014
7.18,242.0 / WSW8.0,22.5,31.7,11.9,59,100,1009.7,1012.3
7.19,349.0 / N7.5,23.3,32.4,25.6,59,100,1011.7,1014.4
7.2,78.8 / E4.6,23.3,32.1,0,61,100,1012.8,1015.5
7.21,33.7 / NNE4.8,22.6,34.3,0,51,100,1010.2,1014
7.22,109.6 / ESE6.2,21.7,35,0,43,99,1009.3,1012.3
7.23,292.7 / WNW4.9,23.6,33.6,0,45,100,1007.7,1010.8
7.24,112.5 / ESE5.4,24.9,34.3,0,49,93,1006.6,1009.4
7.25,56.2 / NE7.4,24.1,34.6,0,45,94,1004.7,1007.5
7.26,112.5 / ESE6.7,24.6,34.4,0,44,89,1002.8,1006
7.27,278.6 / W6.1,22.9,34,0,49,97,1001.4,1004.5
7.28,301.2 / WNW5.3,24,32.8,0.4,54,99,1001.3,1004.4
7.29,334.8 / NNW6.1,24.8,32.4,0,58,99,1001.2,1004.1
7.3,166.0 / SSE6.9,23.6,33.2,4.4,52,100,999.6,1002.4
7.31,270.2 / W5.9,25,32.4,0,59,100,1000.2,1002.3
8.01,270.2 / W10.9,24.3,30.6,28.2,71,100,999.3,1001.9
8.02,188.6 / S10.4,23.3,28.8,32.7,77,100,1001.3,1007.4
8.03,129.3 / SE4.2,22.7,31.5,10,64,100,1005.1,1010
8.04,281.5 / WNW5.6,23.4,32.2,0.2,59,100,1007.4,1011
8.05,309.6 / NW5.7,24.2,33.2,0,58,100,1004.7,1009.1
8.06,270.2 / W7.9,24.5,33.3,0,62,100,1002.3,1005.7
8.07,304.0 / NW6.0,22.9,31.2,0,60,97,1002.4,1004.6
8.08,16.8 / NNE5.7,24.1,29.7,0,74,97,1001.2,1004
8.09,292.7 / WNW5.8,22.3,31.4,0,55,98,1001.8,1006.3
8.1,304.0 / NW6.4,23.7,31.5,0,59,99,1005.9,1010.5
8.11,47.7 / NE5.4,21.9,32.9,0,48,100,1008.3,1011.4
8.12,197.0 / SSW6.7,23.5,31.9,0,59,98,1008,1011.4
8.13,53.4 / NE4.4,22.5,31,0.7,56,100,1004,1008.3
8.14,25.2 / NNE7.3,22.6,29.6,3.5,61,100,1005.2,1010.6
8.15,278.6 / W4.5,21.3,31.4,0.1,48,97,1010.5,1015.3
8.16,115.4 / ESE5.7,21.9,31.2,20.1,49,100,1011.6,1015.4
8.17,42.2 / NE7.3,20.9,30.6,0,50,87,1006.8,1012.4
8.18,64.6 / ENE11.5,20.8,30.6,4.6,50,96,1008,1010.7
8.19,208.3 / SSW6.8,21,29.3,7.3,52,98,1010.1,1013.2
8.2,168.8 / S6.5,20.3,30.8,0,51,96,1009.7,1013.3
8.21,199.8 / SSW11.6,22.4,27.8,44.7,74,98,1001.3,1009.7
8.22,270.2 / W6.6,21.3,29.5,0,61,100,1007.5,1010.8
8.23,53.4 / NE8.5,22.2,24.7,87.9,91,99,1002.2,1011.2
8.24,199.8 / SSW10.0,22.1,29,75.6,73,99,998,1005.5
8.25,312.3 / NW5.5,22,26,6.9,84,98,1005.1,1010
8.26,168.8 / S4.7,21.3,30.3,0,60,100,1009.9,1014.7
8.27,2.7 / N7.7,20.2,23.8,46.5,87,99,1011.4,1014.6
8.28,22.5 / NNE5.3,20.3,28.5,0.2,54,97,1013.3,1015.8
8.29,267.3 / W5.0,19.3,27.4,37.5,73,99,1012.7,1015.6
8.3,33.7 / NNE4.8,20.9,28.1,0.9,59,97,1014.7,1017.1
9.01,312.3 / NW12.5,21.6,25.9,18.5,78,96,1006.7,1011.3
9.02,185.8 / S6.4,20,25.1,0,75,96,1008.4,1011.4
9.03,290.0 / WNW5.3,20.3,28.3,0.1,57,97,1007.8,1011.8
9.04,61.9 / ENE4.3,19.2,28.1,0,54,95,1011.8,1016.6
9.05,39.4 / NE4.9,19.6,23.7,2.6,72,97,1016.2,1019.5
9.06,84.4 / E6.3,19.4,21.5,12.1,74,97,1012.1,1019.5
9.07,242.0 / WSW8.2,20.3,25.3,2.1,9,95,1007.7,1012.1
9.08,318.0 / NW6.8,18.8,26.4,0.2,,,1009.5,1013.9
9.09,290.0 / WNW4.8,17.3,29,0,,,1012.7,1015.3
9.1,202.6 / SSW3.4,20.3,26.2,0,,,1013.1,1014.7
9.11,318.0 / NW4.5,18.9,29,0,80,88,1011,1014.5
9.12,39.4 / NE4.9,18.9,29.7,0,46,92,1011.7,1015
9.13,112.5 / ESE5.3,20.3,28.2,0,39,90,1014.6,1017.1
9.14,19.7 / NNE7.3,19.8,28.7,0,48,77,1011.6,1015.7
9.15,56.2 / NE8.1,18.8,30.7,0,32,74,1012.3,1015.2
9.16,64.6 / ENE5.0,16.7,28.6,0.2,39,81,1008.9,1014.8
9.17,56.2 / NE9.0,18.8,25.8,63.1,56,91,1005.4,1011.5
9.18,278.6 / W4.6,16.3,28.2,0,46,91,1011.4,1016.5
9.19,281.5 / WNW5.2,18.2,28.3,0,43,90,1014.3,1017.6
9.2,166.0 / SSE8.2,18.7,29.1,0,40,90,1007.4,1015.1
9.21,290.0 / WNW12.1,20.2,26.7,46.4,52,90,1005.2,1008.3
9.22,270.2 / W9.4,18.6,27.3,0.7,39,86,1007.6,1014.1
9.23,270.2 / W7.2,16,26.3,0,28,90,1014.1,1020.9
9.24,39.4 / NE4.5,15.3,26.9,0,37,86,1020.7,1023.6
9.25,30.8 / NNE6.5,16.3,25.6,0,51,87,1020.3,1024.6
9.26,78.8 / E4.9,17.4,27.1,0,43,84,1018.2,1021.8
9.27,146.3 / SSE4.4,19.1,26.8,0,43,84,1013.8,1018.3
