날짜,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
7.27,282.0 / WNW5.0,23.4,34.5,0,47,82,1000.5,1004.1
7.28,115.6 / ESE8.8,24.7,34.4,5.7,49,92,1000.1,1003.9
7.29,253.8 / WSW7.6,24.8,34.2,0,51,92,1000.1,1003.5
7.3,200.2 / SSW5.8,25.2,33.8,0.6,40,94,998.9,1002
7.31,273.5 / W6.0,25.5,33.9,4.4,50,95,999.3,1001.8
8.01,301.7 / WNW8.2,24.4,32.7,43.8,59,97,998.9,1001.8
8.02,279.2 / W5.4,23.9,28.8,40.4,73,98,1000.9,1006
8.03,141.0 / SE6.3,23.9,32.2,7.1,60,96,1004.8,1009.7
8.04,335.6 / NNW6.6,24,33.5,2.6,53,94,1006.4,1010.5
8.05,270.7 / W6.4,24.4,34.6,0,54,93,1003.5,1008.5
8.06,346.9 / NNW11.2,24.1,34.3,1,55,92,1000.9,1005.2
8.07,251.0 / WSW5.3,23.2,32.8,0,55,92,1001.3,1004
8.08,19.7 / NNE5.2,24.4,30.2,0,70,92,1000.4,1003.5
8.09,253.8 / WSW6.8,22.4,32.4,0,49,90,1001.3,1005.4
8.1,248.2 / WSW5.7,23.7,32,4.5,54,96,1005.1,1010.1
8.11,234.1 / SW6.3,22.4,34.1,0,36,89,1007.5,1011
8.12,149.5 / SSE7.9,22.8,32,1.5,55,94,1007.4,1010.6
8.13,11.3 / NNE4.5,21.6,31.2,0,54,93,1003.2,1007.9
8.14,8.5 / N4.8,22.9,29.2,2.5,54,95,1004.8,1010.4
8.15,355.3 / N3.7,21.6,32.5,0,45,85,1010.1,1014.7
8.16,143.8 / SE5.9,22.9,31,0,47,82,1011.1,1015
8.17,19.7 / NNE6.9,21.5,30.6,0,49,83,1005.8,1011.8
8.18,118.4 / ESE11.8,21.1,29.9,16,51,93,1007.8,1010.2
8.19,47.9 / NE9.6,20.6,27.9,41.4,59,95,1009.8,1012.8
8.2,225.6 / SW7.1,20.9,31.6,0,48,86,1009.4,1012.9
8.21,115.6 / ESE8.7,22.5,27.5,55.4,68,97,1000.9,1009.9
8.22,217.1 / SW5.4,22.1,29,0,59,95,1007,1010.6
8.23,2.8 / N4.9,21.8,25.1,70.5,83,98,1001.5,1011.1
8.24,236.9 / WSW12.8,21.8,29.5,70.6,74,99,832.1,1005.3
8.25,166.4 / SSE6.0,23.3,28.3,4.8,71,97,1004.7,1009.5
8.26,301.7 / WNW4.9,22.9,31.2,0,49,97,1009.5,1014.3
8.27,324.3 / NW7.9,19.9,24.3,57.3,87,99,1010.6,1014.1
8.28,329.9 / NNW6.0,20.3,29,0.2,55,96,1012.9,1015.3
8.29,321.5 / NW6.8,19.4,27.9,34.8,72,98,1012,1015
8.3,324.3 / NW4.5,21.6,28.9,0,59,96,1013.8,1016.4
9.01,205.9 / SSW6.1,21.7,26.2,28.8,77,97,1007.3,1010.9
9.02,166.4 / SSE5.0,21,26.6,0,68,94,1007.7,1010.8
9.03,76.1 / ENE5.4,20.2,29,0.2,56,95,1007,1011.6
9.04,256.6 / WSW4.3,19,28.7,0,52,91,1011.5,1016.4
9.05,64.9 / ENE6.0,19.1,23.9,4,69,95,1015.8,1019.2
9.06,124.1 / SE7.5,19.1,22.8,11.7,72,95,1012.2,1019.2
9.07,222.8 / SW8.3,20.6,25,1.8,69,92,1006.9,1012.3
9.08,242.5 / WSW4.9,19.7,27.3,1.7,55,96,1008.9,1013.5
9.09,335.6 / NNW5.1,17.7,28.9,0,50,95,1011.8,1014.8
9.1,155.1 / SSE4.4,20.9,28.1,0,58,90,1012.3,1014.2
9.11,329.9 / NNW5.4,20,29.8,0,52,93,1009.9,1014.1
9.12,267.9 / W5.1,19.6,29.8,0,53,95,1011.2,1014.5
9.13,76.1 / ENE5.9,20.7,28.4,0,45,89,1014,1016.7
9.14,76.1 / ENE8.2,20.6,28.1,0,58,79,1011.3,1015.3
9.15,42.3 / NE10.2,19.4,29.4,0,44,75,1011.8,1015
9.16,76.1 / ENE6.8,18,30.2,1,45,94,1008.3,1014.5
9.17,358.1 / N6.2,19.3,26.6,38.5,63,97,1004.7,1010.8
9.18,335.6 / NNW4.5,17.6,28.8,0,48,93,1010.8,1016.2
9.19,315.8 / NW4.5,18.9,28.9,0,43,86,1013.1,1017
9.2,115.6 / ESE9.6,18.5,29,0,50,85,1007.3,1014.8
9.21,236.9 / WSW10.4,20.1,26.4,41.2,62,97,1004.2,1008.3
9.22,239.7 / WSW8.5,20.4,27.2,0,47,84,1007.2,1013.6
9.23,251.0 / WSW7.2,17.5,26.7,0,43,94,1013.6,1020.6
9.24,79.0 / E3.9,15.8,27.5,0,46,88,1020.2,1023
9.25,87.4 / E7.5,17,25.5,0,58,87,1019.6,1024.1
9.26,355.3 / N5.1,17.5,27.5,0,51,88,1017.3,1021.5
9.27,324.3 / NW5.2,19.4,28,0,45,79,1013.2,1017.8
