월.일,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
7.2,19.7 / NNE3.7,23.3,32.1,0,59,97,,
7.19,87.2 / E7.3,22.9,34.3,3.4,45,97,,
7.18,137.8 / SE7.8,21.6,31.9,3,58,97,,
7.17,112.5 / ESE8.4,21.6,34.2,43.7,47,97,,
7.16,151.9 / SSE9.6,22.8,33.6,4.4,56,97,,
7.15,253.1 / WSW4.6,23.8,35.4,0,45,97,,
7.14,137.8 / SE6.4,24.8,33.6,0,58,97,,
7.13,151.9 / SSE6.5,23.6,35.6,0,48,97,,
7.12,222.2 / SW4.1,25,34.1,0,57,97,,
7.11,222.2 / SW5.5,22.5,32,0,61,97,,
7.1,258.8 / W6.8,22.7,33.1,0,54,97,,
7.09,241.9 / WSW5.4,23.2,30.7,0.3,59,97,,
7.08,303.8 / NW6.3,22.4,29.1,47,71,97,,
7.07,123.8 / SE6.1,23.6,29.3,13.7,81,97,,
7.06,337.5 / NNW5.2,20.9,25.5,18.7,96,97,,
7.05,135.0 / SE5.8,20.6,25.2,103.7,77,97,,
7.04,216.6 / SW8.2,21.9,25.7,2.1,84,97,,
7.03,87.2 / E7.5,22.1,27.6,29.4,61,97,,
7.02,199.7 / SSW7.6,21.7,32.2,0,49,97,,
7.01,33.8 / NE6.0,20.1,31.7,0,51,97,,
6.3,292.5 / WNW4.1,20.1,31.4,0,45,97,,
6.29,312.2 / NW6.2,19.8,28.9,0,60,97,,
6.28,146.3 / SSE8.7,20.5,30.2,1.5,55,97,,
6.27,253.1 / WSW4.9,18.7,30.8,0,43,97,,
6.26,343.1 / NNW5.1,20.1,29.3,6.1,42,97,,
6.25,247.5 / WSW5.9,17.7,31.2,16,45,97,,
6.24,326.3 / NNW4.5,18.6,27.9,0,53,97,,
6.23,202.5 / SSW6.8,19.2,27.5,0,60,97,,
6.22,194.1 / SSW5.7,17,29.1,0,47,97,,
6.21,326.3 / NNW6.4,18.6,30.2,0,43,97,,
6.2,241.9 / WSW7.2,16.6,31.8,0,28,97,,
6.19,239.1 / WSW5.3,16.8,29.6,0,43,97,,
6.18,244.7 / WSW5.0,19.6,24,4.3,81,97,,
6.17,298.1 / WNW4.9,19.1,26.3,1.3,59,97,,
6.16,53.4 / NE9.5,19.7,28,0,50,93,,
6.15,129.4 / SE6.3,19.9,23.1,4.7,76,97,,
6.14,286.9 / WNW5.0,18.5,27.9,0,67,97,,
6.13,180.0 / S5.4,18.4,28.5,0,64,97,,
6.12,177.2 / S6.1,18.9,31.9,0,50,97,,
6.11,109.7 / ESE6.1,19.5,28.2,35.5,59,97,,
6.1,143.4 / SE8.7,20.5,31.5,7.5,41,97,,
6.09,202.5 / SSW5.5,18.7,34.4,0,29,97,,
6.08,300.9 / WNW3.9,16.5,32.1,0,32,97,,
6.07,182.8 / S3.6,14.2,31.2,0,22,97,,
6.06,264.4 / W7.1,16,28.8,0,41,97,,
6.05,216.6 / SW7.4,12,26.7,0,58,97,,
6.04,317.8 / NW6.9,12.5,23.9,0.1,36,97,,
6.03,331.9 / NNW6.2,16.6,21.1,22.9,69,97,,
6.02,137.8 / SE5.7,16.6,31.8,0,29,95,,
6.01,320.6 / NW6.7,13.8,28.7,0,33,97,,
5.31,348.8 / N7.9,14.8,28.8,18.7,31,97,,
5.3,306.6 / NW8.9,10.9,29.8,0.3,30,97,,
5.29,222.2 / SW7.7,10.8,24.5,0,36,97,,
5.28,168.8 / S9.0,10.1,23.3,27.5,54,97,,
5.27,261.6 / W6.7,10.7,20.2,2.7,62,97,,
5.26,151.9 / SSE7.0,11.5,25.9,0,25,97,,
5.25,323.4 / NW8.6,10.9,21,1,44,97,,
5.24,270.0 / W6.2,13.5,24.6,0,39,97,,
5.23,317.8 / NW5.1,11.2,28.1,0,42,97,,
5.22,92.8 / E7.5,12.1,25.9,0,48,97,,
5.21,250.3 / WSW8.0,14.3,19.3,0.1,62,97,,
5.2,64.7 / ENE7.4,15.3,19.7,6.3,58,97,,
5.19,315.0 / NW6.1,11.6,27.5,0,26,97,,
5.18,270.0 / W5.2,14.4,23.8,0,50,97,,
5.17,230.6 / SW4.9,14.2,16.9,4.1,87,97,,
5.16,225.0 / SW7.7,15.9,22.9,29.2,90,97,,
5.15,137.8 / SE6.2,18.9,28.2,3.4,64,97,,
5.14,247.5 / WSW6.1,14,31.3,0,41,97,,
5.13,261.6 / W5.5,12.8,28.8,0,41,97,,
5.12,312.2 / NW7.2,12.6,27.2,0,38,97,,
5.11,16.9 / NNE5.3,13.6,20.3,36.2,64,97,,
5.1,309.4 / NW9.3,8.9,15.2,3.5,54,97,,
5.09,202.5 / SSW6.5,6.2,22.1,0,27,97,,
5.08,227.8 / SW9.8,5.3,24.2,0,30,96,,
5.07,216.6 / SW9.1,6.8,21.8,0.6,35,94,,
5.06,202.5 / SSW5.8,4.1,23.9,0,20,93,,
5.05,300.9 / WNW7.5,6.4,19.9,0,22,97,,
5.04,143.4 / SE9.9,10.7,23.5,9.3,56,97,,
5.03,255.9 / WSW6.4,4.3,23,0,25,97,,
5.02,272.8 / W6.7,6.2,18.3,0.5,39,97,,
5.01,250.3 / WSW8.3,9.3,13.7,1.9,55,97,,
4.3,194.1 / SSW11.4,9.9,15.4,0,52,91,,
4.29,177.2 / S12.7,10.6,20.3,3.2,39,92,,
4.28,306.6 / NW4.4,11.5,21.2,0.2,28,97,,
4.27,219.4 / SW5.1,9.2,22.6,0,29,91,,
4.26,300.9 / WNW6.4,8.8,24.2,0,21,97,,
4.25,267.2 / W6.9,7.9,25.7,0,31,97,,
4.24,317.8 / NW7.1,11.4,25.7,0,22,77,,
4.23,45.0 / NE8.9,15.7,27.8,0,19,62,,
4.22,33.8 / NE8.3,12.7,29.1,0,18,75,,
4.21,227.8 / SW5.6,6.9,28.4,0,21,90,,
4.2,216.6 / SW6.7,3.6,24.7,0,21,97,,
4.19,250.3 / WSW7.1,2.4,20.6,0,31,97,,
4.18,239.1 / WSW7.1,4,15.7,0,36,97,,
4.17,272.8 / W10.2,5.8,16.5,0,24,97,,
4.16,213.8 / SW6.4,5.2,15.8,0.8,56,97,,
4.15,348.8 / N6.1,-0.2,19.3,0,20,97,,
4.14,210.9 / SSW7.3,0.4,15,0,32,97,,
4.13,202.5 / SSW8.3,4.8,14.9,1.1,51,97,,
4.12,126.6 / SE7.8,10.8,15,22.4,39,97,,
4.11,255.9 / WSW4.5,4.4,23.9,0,21,97,,
4.1,329.1 / NNW5.4,5.3,19.6,0,25,97,,
4.09,258.8 / W6.3,1.4,20.3,0,21,97,,
4.08,230.6 / SW7.0,3.7,18.1,0,14,97,,
4.07,272.8 / W6.6,3.3,21.6,0,24,97,,
4.06,247.5 / WSW7.5,3.3,18.5,0,25,97,,
4.05,303.8 / NW7.0,5,18.1,0,22,97,,
4.04,326.3 / NNW8.0,9.1,14.3,3.6,69,97,,
4.03,129.4 / SE8.2,11.7,19.6,14.5,58,97,,
4.02,28.1 / NNE7.0,13.9,24,0,27,67,,
4.01,30.9 / NNE9.1,4,23.9,0,22,95,,
3.31,320.6 / NW4.5,1.5,23.6,0,8,97,,
3.3,326.3 / NNW8.1,4.2,19.6,0,17,97,,
3.29,227.8 / SW6.9,6.7,16.7,0,29,97,,
3.28,225.0 / SW8.2,7.6,15.1,0.7,85,97,,
3.27,126.6 / SE7.3,6.1,16.5,24.7,49,97,,
3.26,241.9 / WSW4.3,4.3,22.9,0,20,97,,
3.25,180.0 / S6.1,2.6,19.9,0,39,97,,
3.24,213.8 / SW6.1,0.6,18.1,0,20,97,,
3.23,236.3 / WSW8.0,0.5,16,0,38,97,,
3.22,267.2 / W8.0,-0.5,11.6,0,31,97,,
3.21,298.1 / WNW10.2,4.1,10.3,0,39,94,,
3.2,312.2 / NW5.9,6.4,10.4,5.2,69,97,,
3.19,312.2 / NW6.4,6.3,19.2,0,39,83,,
3.18,281.3 / WNW7.0,0.6,19.6,0,32,97,,
3.17,233.4 / SW5.5,-1.6,17,0,19,97,,
3.16,340.3 / NNW8.2,1.6,15.1,3.1,21,97,,
3.15,216.6 / SW5.5,-0.1,19,0.2,35,97,,
3.14,258.8 / W5.0,1.3,14.7,0,51,97,,
3.13,227.8 / SW5.5,2.1,15.7,0,44,97,,
3.12,348.8 / N8.2,6.2,10.2,16.4,78,97,,
3.11,267.2 / W4.6,0.4,18,0,26,97,,
3.1,275.6 / W4.7,-1.7,18,0,23,97,,
3.09,298.1 / WNW5.2,1,13.3,0,37,97,,
3.08,213.8 / SW5.0,0.9,14.3,0,24,97,,
3.07,230.6 / SW4.1,3.6,12.1,0,52,97,,
3.06,208.1 / SSW4.8,2.8,14.3,0,63,97,,
3.05,351.6 / N6.1,-0.2,16.9,0,36,97,,
3.04,320.6 / NW5.6,2.1,12,5.4,42,97,,
3.03,270.0 / W3.6,-2.8,9.9,0,32,97,,
3.02,306.6 / NW6.8,-1,7.8,0,48,97,,
3.01,154.7 / SSE9.5,4.5,17.3,43.8,78,97,,
2.28,33.8 / NE5.8,-0.2,11.4,0,40,97,,
2.27,25.3 / NNE8.5,4.7,15.1,0,31,67,,
2.26,33.8 / NE10.0,4.6,15.4,0,20,94,,
2.25,331.9 / NNW5.4,-2.6,8.3,3.6,41,97,,
2.24,337.5 / NNW5.0,-2,11.4,0,14,87,,
2.23,317.8 / NW5.6,-5.6,8.2,0,18,87,,
2.22,210.9 / SSW7.6,1.3,17,0,50,94,,
2.21,191.3 / SSW9.6,2,22.7,0,22,97,,
2.2,227.8 / SW6.4,1.1,15.1,0,55,97,,
2.19,205.3 / SSW7.4,-6.4,10.9,0,42,88,,
2.18,331.9 / NNW9.0,-10.7,0.8,0,40,89,,
2.17,253.1 / WSW10.9,-6.8,-2.9,0.6,41,89,,
2.16,343.1 / NNW10.4,-6.7,3.4,1.9,35,97,,
2.15,253.1 / WSW10.2,-0.8,7.8,0.6,47,97,,
2.14,303.8 / NW5.5,0.8,17.1,0.6,32,95,,
2.13,306.6 / NW4.7,-3.2,16.8,0,15,97,,
2.12,286.9 / WNW4.2,-0.5,15.5,0,15,97,,
2.11,343.1 / NNW5.4,-2.4,12.7,0,34,97,,
2.1,25.3 / NNE5.2,-5.7,9.2,0,52,97,,
2.09,191.3 / SSW4.9,-7.9,6.2,0,30,88,,
2.08,343.1 / NNW8.3,-6.4,3.2,0,23,89,,
2.07,258.8 / W5.6,0.3,10.9,0,45,97,,
2.06,199.7 / SSW5.4,-3.3,10.6,0,57,97,,
2.05,275.6 / W4.4,-6.2,8.6,0,32,96,,
2.04,345.9 / NNW6.2,-5,3.9,1.5,29,97,,
2.03,222.2 / SW4.6,-9.3,4.1,0.3,23,97,,
2.02,306.6 / NW8.1,-4.4,2.9,0.3,28,94,,
2.01,250.3 / WSW6.6,3,11.7,5.5,68,97,,
1.31,154.7 / SSE6.2,-5.5,13,0.1,41,97,,
1.3,210.9 / SSW8.4,-7.4,9.3,0,51,97,,
1.29,303.8 / NW7.1,-7.9,0.5,0,32,90,,
1.28,298.1 / WNW12.2,-4.9,6.1,2,40,97,,
1.27,354.4 / N10.4,-0.3,8,0,21,95,,
1.26,300.9 / WNW5.7,2.5,8.7,5.5,79,97,,
1.25,253.1 / WSW5.1,-0.2,14.8,0,37,97,,
1.24,81.6 / E5.6,1.8,14.3,0,38,95,,
1.23,33.8 / NE7.2,6.5,13.9,0,60,97,,
1.22,340.3 / NNW5.9,5.4,11.7,0.9,79,97,,
1.21,317.8 / NW3.8,1.1,9.3,9.2,53,97,,
1.2,303.8 / NW3.6,-9.4,9.9,0,18,83,,
1.19,334.7 / NNW5.8,-8.5,0.3,0,19,78,,
1.18,250.3 / WSW12.0,-4.4,6.1,6.4,39,97,,
1.17,357.2 / N6.5,-7.6,1.5,0.4,33,97,,
1.16,278.4 / W7.0,-4.3,3,0,45,79,,
1.15,222.2 / SW7.6,0.5,13.7,0,66,95,,
1.14,337.5 / NNW6.1,-2.3,10.9,0,27,97,,
1.13,196.9 / SSW5.3,-3.6,10.7,0,53,97,,
1.12,202.5 / SSW5.6,-10.1,4.3,0.9,54,97,,
1.11,351.6 / N6.5,-8.9,-1.4,0,60,97,,
1.1,329.1 / NNW4.0,-15.6,-0.4,0,40,97,,
1.09,354.4 / N7.2,-17.9,-6.2,0,39,97,,
1.08,351.6 / N5.9,-17.1,-9.1,0,50,95,,
1.07,177.2 / S11.4,-15.5,-2.3,3,47,97,,
1.06,264.4 / W10.5,-11.3,-0.8,3.3,51,97,,
1.05,315.0 / NW7.8,-8.5,1.4,0,44,95,,
1.04,303.8 / NW6.0,-7.8,3.8,0,47,96,,
1.03,323.4 / NW4.9,-7.9,0.6,0,48,95,,
1.02,343.1 / NNW6.9,-7,1.5,0,39,97,,
1.01,278.4 / W5.4,-11.2,3.9,0,55,97,,
12.31,340.3 / NNW6.1,-11.2,-1.9,0.7,55,97,,
